timestamp;kbmemfree;kbmemused
2017-12-21 17:22:56 UTC;4637260;3435884
2017-12-21 17:22:57 UTC;4661864;3411280
2017-12-21 17:22:58 UTC;4647892;3425252
2017-12-21 17:22:59 UTC;4657596;3415548
2017-12-21 17:23:00 UTC;4661012;3412132
2017-12-21 17:23:01 UTC;4665532;3407612
2017-12-21 17:23:02 UTC;4666868;3406276
2017-12-21 17:23:03 UTC;4666616;3406528
2017-12-21 17:23:04 UTC;4666740;3406404
2017-12-21 17:23:05 UTC;4668848;3404296
2017-12-21 17:23:06 UTC;4668944;3404200
2017-12-21 17:23:07 UTC;4668684;3404460
2017-12-21 17:23:08 UTC;4668940;3404204
2017-12-21 17:23:09 UTC;4668940;3404204
2017-12-21 17:23:10 UTC;4667824;3405320
2017-12-21 17:23:11 UTC;4667576;3405568
2017-12-21 17:23:12 UTC;4667452;3405692
2017-12-21 17:23:13 UTC;4667452;3405692
2017-12-21 17:23:14 UTC;4667328;3405816
2017-12-21 17:23:15 UTC;4667140;3406004
2017-12-21 17:23:16 UTC;4666892;3406252
2017-12-21 17:23:17 UTC;4666644;3406500
2017-12-21 17:23:18 UTC;4665900;3407244
2017-12-21 17:23:19 UTC;4665052;3408092
2017-12-21 17:23:20 UTC;4664784;3408360
2017-12-21 17:23:21 UTC;4664756;3408388
2017-12-21 17:23:22 UTC;4664412;3408732
2017-12-21 17:23:23 UTC;4663852;3409292
2017-12-21 17:23:24 UTC;4663852;3409292
2017-12-21 17:23:25 UTC;4663232;3409912
2017-12-21 17:23:26 UTC;4662736;3410408
2017-12-21 17:23:27 UTC;4662116;3411028
2017-12-21 17:23:28 UTC;4661868;3411276
2017-12-21 17:23:29 UTC;4661372;3411772
2017-12-21 17:23:30 UTC;4661000;3412144
2017-12-21 17:23:31 UTC;4660008;3413136
2017-12-21 17:23:32 UTC;4659760;3413384
2017-12-21 17:23:33 UTC;4659140;3414004
2017-12-21 17:23:34 UTC;4658892;3414252
2017-12-21 17:23:35 UTC;4658148;3414996
2017-12-21 17:23:36 UTC;4657652;3415492
2017-12-21 17:23:37 UTC;4657156;3415988
2017-12-21 17:23:38 UTC;4656536;3416608
2017-12-21 17:23:39 UTC;4633720;3439424
2017-12-21 17:23:40 UTC;4633320;3439824
2017-12-21 17:23:41 UTC;4632604;3440540
2017-12-21 17:23:42 UTC;4632604;3440540
2017-12-21 17:23:43 UTC;4632108;3441036
2017-12-21 17:23:44 UTC;4632108;3441036
2017-12-21 17:23:45 UTC;4631984;3441160
2017-12-21 17:23:46 UTC;4631860;3441284
2017-12-21 17:23:47 UTC;4631272;3441872
2017-12-21 17:23:48 UTC;4631024;3442120
2017-12-21 17:23:49 UTC;4630652;3442492
2017-12-21 17:23:50 UTC;4630404;3442740
2017-12-21 17:23:51 UTC;4629660;3443484
2017-12-21 17:23:52 UTC;4629288;3443856
2017-12-21 17:23:53 UTC;4629040;3444104
2017-12-21 17:23:54 UTC;4628792;3444352
2017-12-21 17:23:55 UTC;4628360;3444784
2017-12-21 17:23:56 UTC;4628360;3444784
2017-12-21 17:23:57 UTC;4627740;3445404
2017-12-21 17:23:58 UTC;4627740;3445404
2017-12-21 17:23:59 UTC;4626996;3446148
2017-12-21 17:24:00 UTC;4626748;3446396
2017-12-21 17:24:01 UTC;4626128;3447016
2017-12-21 17:24:02 UTC;4625880;3447264
2017-12-21 17:24:03 UTC;4625136;3448008
2017-12-21 17:24:04 UTC;4625012;3448132
2017-12-21 17:24:05 UTC;4625136;3448008
2017-12-21 17:24:06 UTC;4625136;3448008
2017-12-21 17:24:07 UTC;4624268;3448876
2017-12-21 17:24:08 UTC;4624020;3449124
2017-12-21 17:24:09 UTC;4623896;3449248
2017-12-21 17:24:10 UTC;4623400;3449744
2017-12-21 17:24:11 UTC;4622656;3450488
2017-12-21 17:24:12 UTC;4622656;3450488
2017-12-21 17:24:13 UTC;4621416;3451728
2017-12-21 17:24:14 UTC;4621168;3451976
2017-12-21 17:24:15 UTC;4620424;3452720
2017-12-21 17:24:16 UTC;4619928;3453216
2017-12-21 17:24:17 UTC;4619556;3453588
2017-12-21 17:24:18 UTC;4618936;3454208
2017-12-21 17:24:19 UTC;4618192;3454952
2017-12-21 17:24:20 UTC;4618192;3454952
