timestamp;rxkB/s;txkB/s
2017-12-21 17:22:56 UTC;1,77;3,50
2017-12-21 17:22:57 UTC;0,29;0,04
2017-12-21 17:22:58 UTC;3,25;6,48
2017-12-21 17:22:59 UTC;1,45;6,93
2017-12-21 17:23:00 UTC;0,91;0,18
2017-12-21 17:23:01 UTC;1,04;0,00
2017-12-21 17:23:02 UTC;6,63;2,13
2017-12-21 17:23:03 UTC;0,32;0,00
2017-12-21 17:23:04 UTC;0,30;0,04
2017-12-21 17:23:05 UTC;0,83;0,32
2017-12-21 17:23:06 UTC;0,29;0,09
2017-12-21 17:23:07 UTC;1,63;0,00
2017-12-21 17:23:08 UTC;0,26;0,09
2017-12-21 17:23:09 UTC;0,06;0,00
2017-12-21 17:23:10 UTC;21,20;74,22
2017-12-21 17:23:11 UTC;3,32;230,50
2017-12-21 17:23:12 UTC;3,61;270,08
2017-12-21 17:23:13 UTC;3,89;269,73
2017-12-21 17:23:14 UTC;3,38;273,41
2017-12-21 17:23:15 UTC;5,17;275,78
2017-12-21 17:23:16 UTC;3,04;264,34
2017-12-21 17:23:17 UTC;3,56;277,24
2017-12-21 17:23:18 UTC;4,66;276,94
2017-12-21 17:23:19 UTC;2,70;274,27
2017-12-21 17:23:20 UTC;3,85;283,56
2017-12-21 17:23:21 UTC;2,29;274,10
2017-12-21 17:23:22 UTC;2,83;265,94
2017-12-21 17:23:23 UTC;2,78;284,35
2017-12-21 17:23:24 UTC;3,33;262,34
2017-12-21 17:23:25 UTC;3,47;280,49
2017-12-21 17:23:26 UTC;3,24;273,38
2017-12-21 17:23:27 UTC;2,62;270,95
2017-12-21 17:23:28 UTC;3,10;264,05
2017-12-21 17:23:29 UTC;2,62;282,18
2017-12-21 17:23:30 UTC;2,63;270,47
2017-12-21 17:23:31 UTC;2,89;282,57
2017-12-21 17:23:32 UTC;8,62;270,03
2017-12-21 17:23:33 UTC;3,05;274,13
2017-12-21 17:23:34 UTC;3,15;275,79
2017-12-21 17:23:35 UTC;3,25;284,36
2017-12-21 17:23:36 UTC;2,80;272,25
