timestamp;rxkB/s;txkB/s
2018-01-25 19:09:14 UTC;1,04;0,25
2018-01-25 19:09:15 UTC;0,06;0,21
2018-01-25 19:09:16 UTC;0,33;0,40
2018-01-25 19:09:17 UTC;1,68;3,10
2018-01-25 19:09:18 UTC;0,00;0,00
2018-01-25 19:09:19 UTC;0,12;0,00
2018-01-25 19:09:20 UTC;0,00;0,00
2018-01-25 19:09:21 UTC;0,06;0,00
2018-01-25 19:09:22 UTC;0,00;0,00
2018-01-25 19:09:23 UTC;8,55;7,65
2018-01-25 19:09:24 UTC;0,91;2,71
2018-01-25 19:09:25 UTC;1,43;2,93
2018-01-25 19:09:26 UTC;0,74;2,41
2018-01-25 19:09:27 UTC;0,62;2,41
2018-01-25 19:09:28 UTC;1,14;2,79
2018-01-25 19:09:29 UTC;0,74;2,41
2018-01-25 19:09:30 UTC;0,75;1,85
2018-01-25 19:09:31 UTC;0,96;0,22
2018-01-25 19:09:32 UTC;0,40;0,38
2018-01-25 19:09:33 UTC;0,56;0,50
2018-01-25 19:09:34 UTC;0,23;0,16
2018-01-25 19:09:35 UTC;1,31;0,25
2018-01-25 19:09:36 UTC;0,33;0,13
2018-01-25 19:09:37 UTC;0,09;0,00
2018-01-25 19:09:38 UTC;0,62;0,37
2018-01-25 19:09:39 UTC;0,24;0,08
2018-01-25 19:09:40 UTC;0,37;0,16
2018-01-25 19:09:41 UTC;0,30;0,13
2018-01-25 19:09:42 UTC;0,13;0,22
2018-01-25 19:09:43 UTC;0,55;0,41
2018-01-25 19:09:44 UTC;7,19;4,10
2018-01-25 19:09:45 UTC;15,50;11,30
2018-01-25 19:09:46 UTC;6,69;12,25
2018-01-25 19:09:47 UTC;5,90;10,45
2018-01-25 19:09:48 UTC;12,35;16,02
2018-01-25 19:09:49 UTC;15,44;22,61
2018-01-25 19:09:50 UTC;10,54;21,29
2018-01-25 19:09:51 UTC;12,58;24,64
2018-01-25 19:09:52 UTC;9,27;21,51
2018-01-25 19:09:53 UTC;10,48;27,19
2018-01-25 19:09:54 UTC;6,36;21,57
2018-01-25 19:09:55 UTC;7,66;23,11
2018-01-25 19:09:56 UTC;5,83;21,18
2018-01-25 19:09:57 UTC;6,11;21,61
2018-01-25 19:09:58 UTC;7,65;22,29
2018-01-25 19:09:59 UTC;6,43;21,62
2018-01-25 19:10:00 UTC;6,52;22,02
2018-01-25 19:10:01 UTC;6,83;21,49
2018-01-25 19:10:02 UTC;5,89;21,35
2018-01-25 19:10:03 UTC;6,88;22,38
2018-01-25 19:10:04 UTC;7,05;21,74
2018-01-25 19:10:05 UTC;7,10;22,04
2018-01-25 19:10:06 UTC;6,21;21,26
2018-01-25 19:10:07 UTC;6,11;21,45
2018-01-25 19:10:08 UTC;7,12;22,40
2018-01-25 19:10:09 UTC;6,18;21,52
2018-01-25 19:10:10 UTC;6,75;22,12
2018-01-25 19:10:11 UTC;6,19;21,39
2018-01-25 19:10:12 UTC;6,22;21,45
2018-01-25 19:10:13 UTC;7,87;22,52
2018-01-25 19:10:14 UTC;7,10;21,54
2018-01-25 19:10:15 UTC;6,48;22,04
2018-01-25 19:10:16 UTC;6,07;21,42
2018-01-25 19:10:17 UTC;6,56;21,92
2018-01-25 19:10:18 UTC;6,98;22,40
2018-01-25 19:10:19 UTC;6,18;21,42
2018-01-25 19:10:20 UTC;6,52;22,07
2018-01-25 19:10:21 UTC;6,54;22,22
2018-01-25 19:10:22 UTC;7,00;22,49
2018-01-25 19:10:23 UTC;6,63;21,36
2018-01-25 19:10:24 UTC;7,23;22,53
2018-01-25 19:10:25 UTC;7,45;21,94
2018-01-25 19:10:26 UTC;5,95;22,05
2018-01-25 19:10:27 UTC;6,31;21,08
2018-01-25 19:10:28 UTC;9,78;25,79
2018-01-25 19:10:29 UTC;6,21;22,14
2018-01-25 19:10:30 UTC;6,55;21,36
2018-01-25 19:10:31 UTC;7,04;21,65
2018-01-25 19:10:32 UTC;6,58;21,02
2018-01-25 19:10:33 UTC;6,84;22,11
2018-01-25 19:10:34 UTC;6,44;23,12
2018-01-25 19:10:35 UTC;7,28;20,72
2018-01-25 19:10:36 UTC;6,19;22,04
2018-01-25 19:10:37 UTC;6,35;22,34
2018-01-25 19:10:38 UTC;7,01;20,50
2018-01-25 19:10:39 UTC;6,77;21,72
2018-01-25 19:10:40 UTC;7,33;24,10
2018-01-25 19:10:41 UTC;6,92;20,37
2018-01-25 19:10:42 UTC;6,11;22,07
2018-01-25 19:10:43 UTC;7,06;22,46
2018-01-25 19:10:44 UTC;6,91;20,78
2018-01-25 19:10:45 UTC;6,69;23,56
2018-01-25 19:10:46 UTC;6,07;21,55
2018-01-25 19:10:47 UTC;6,25;20,91
2018-01-25 19:10:48 UTC;7,31;21,91
2018-01-25 19:10:49 UTC;6,73;21,37
2018-01-25 19:10:50 UTC;6,39;21,84
2018-01-25 19:10:51 UTC;7,70;23,40
2018-01-25 19:10:52 UTC;9,27;23,88
2018-01-25 19:10:53 UTC;12,41;27,62
2018-01-25 19:10:54 UTC;9,64;25,16
2018-01-25 19:10:55 UTC;15,12;34,04
2018-01-25 19:10:56 UTC;11,95;28,42
2018-01-25 19:10:57 UTC;13,62;35,97
2018-01-25 19:10:58 UTC;14,37;31,82
2018-01-25 19:10:59 UTC;19,42;45,36
2018-01-25 19:11:00 UTC;14,63;40,92
