timestamp;kbmemfree;kbmemused
2018-01-25 18:36:33 UTC;6587164;1478720
2018-01-25 18:36:34 UTC;6599068;1466816
2018-01-25 18:36:35 UTC;6601268;1464616
2018-01-25 18:36:36 UTC;6601176;1464708
2018-01-25 18:36:37 UTC;6601148;1464736
2018-01-25 18:36:38 UTC;6601316;1464568
2018-01-25 18:36:39 UTC;6628712;1437172
2018-01-25 18:36:40 UTC;6628720;1437164
2018-01-25 18:36:41 UTC;6631880;1434004
2018-01-25 18:36:42 UTC;6630728;1435156
2018-01-25 18:36:43 UTC;6630852;1435032
2018-01-25 18:36:44 UTC;6629984;1435900
2018-01-25 18:36:45 UTC;6629860;1436024
2018-01-25 18:36:46 UTC;6629860;1436024
2018-01-25 18:36:47 UTC;6629488;1436396
2018-01-25 18:36:48 UTC;6629240;1436644
2018-01-25 18:36:49 UTC;6628840;1437044
2018-01-25 18:36:50 UTC;6628496;1437388
2018-01-25 18:36:51 UTC;6628496;1437388
2018-01-25 18:36:52 UTC;6628248;1437636
2018-01-25 18:36:53 UTC;6628248;1437636
2018-01-25 18:36:54 UTC;6627876;1438008
2018-01-25 18:36:55 UTC;6627876;1438008
2018-01-25 18:36:56 UTC;6627628;1438256
2018-01-25 18:36:57 UTC;6627380;1438504
2018-01-25 18:36:58 UTC;6627352;1438532
2018-01-25 18:36:59 UTC;6626360;1439524
2018-01-25 18:37:00 UTC;6624748;1441136
2018-01-25 18:37:01 UTC;6624624;1441260
2018-01-25 18:37:02 UTC;6624376;1441508
2018-01-25 18:37:03 UTC;6624376;1441508
2018-01-25 18:37:04 UTC;6624128;1441756
2018-01-25 18:37:05 UTC;6623880;1442004
2018-01-25 18:37:06 UTC;6623756;1442128
2018-01-25 18:37:07 UTC;6623384;1442500
2018-01-25 18:37:08 UTC;6623260;1442624
2018-01-25 18:37:09 UTC;6622364;1443520
2018-01-25 18:37:10 UTC;6622392;1443492
2018-01-25 18:37:11 UTC;6622144;1443740
2018-01-25 18:37:12 UTC;6622020;1443864
2018-01-25 18:37:13 UTC;6621648;1444236
2018-01-25 18:37:14 UTC;6621648;1444236
2018-01-25 18:37:15 UTC;6621400;1444484
2018-01-25 18:37:16 UTC;6621400;1444484
2018-01-25 18:37:17 UTC;6620904;1444980
2018-01-25 18:37:18 UTC;6620408;1445476
2018-01-25 18:37:19 UTC;6618308;1447576
2018-01-25 18:37:20 UTC;6588416;1477468
2018-01-25 18:37:21 UTC;6588168;1477716
2018-01-25 18:37:22 UTC;6587548;1478336
2018-01-25 18:37:23 UTC;6584308;1481576
2018-01-25 18:37:24 UTC;6583068;1482816
2018-01-25 18:37:25 UTC;6581628;1484256
2018-01-25 18:37:26 UTC;6581876;1484008
2018-01-25 18:37:27 UTC;6579024;1486860
2018-01-25 18:37:28 UTC;6576080;1489804
2018-01-25 18:37:29 UTC;6575832;1490052
2018-01-25 18:37:30 UTC;6573228;1492656
2018-01-25 18:37:31 UTC;6571788;1494096
2018-01-25 18:37:32 UTC;6571120;1494764
2018-01-25 18:37:33 UTC;6570128;1495756
2018-01-25 18:37:34 UTC;6569012;1496872
2018-01-25 18:37:35 UTC;6567772;1498112
2018-01-25 18:37:36 UTC;6566532;1499352
2018-01-25 18:37:37 UTC;6565416;1500468
2018-01-25 18:37:38 UTC;6564424;1501460
2018-01-25 18:37:39 UTC;6563556;1502328
2018-01-25 18:37:40 UTC;6562688;1503196
2018-01-25 18:37:41 UTC;6562192;1503692
2018-01-25 18:37:42 UTC;6561696;1504188
2018-01-25 18:37:43 UTC;6561448;1504436
2018-01-25 18:37:44 UTC;6560580;1505304
2018-01-25 18:37:45 UTC;6560208;1505676
2018-01-25 18:37:46 UTC;6559464;1506420
2018-01-25 18:37:47 UTC;6558968;1506916
2018-01-25 18:37:48 UTC;6558100;1507784
2018-01-25 18:37:49 UTC;6557852;1508032
2018-01-25 18:37:50 UTC;6557356;1508528
2018-01-25 18:37:51 UTC;6556736;1509148
2018-01-25 18:37:52 UTC;6556488;1509396
2018-01-25 18:37:53 UTC;6555744;1510140
2018-01-25 18:37:54 UTC;6555248;1510636
2018-01-25 18:37:55 UTC;6554380;1511504
2018-01-25 18:37:56 UTC;6553636;1512248
2018-01-25 18:37:57 UTC;6553264;1512620
2018-01-25 18:37:58 UTC;6552612;1513272
2018-01-25 18:37:59 UTC;6552428;1513456
2018-01-25 18:38:00 UTC;6551900;1513984
2018-01-25 18:38:01 UTC;6551188;1514696
2018-01-25 18:38:02 UTC;6550816;1515068
2018-01-25 18:38:03 UTC;6550536;1515348
2018-01-25 18:38:04 UTC;6549452;1516432
